=== PAIRWISE INFERENCE RESULTS (>1.0%) ===
Model: XGBoost
Total Level Pairs Found: 18559

L_11545 <-> Q_11541 | XGBoost: 83.4%
  Features: Energy_Similarity=0.83, Spin_Similarity=1.00, Parity_Similarity=1.00, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11670 <-> Q_11670 | XGBoost: 74.5%
  Features: Energy_Similarity=1.00, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_12100 <-> F_12100 | XGBoost: 74.5%
  Features: Energy_Similarity=1.00, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11490 <-> Q_11486 | XGBoost: 74.5%
  Features: Energy_Similarity=0.68, Spin_Similarity=1.00, Parity_Similarity=1.00, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11435 <-> Q_11434 | XGBoost: 73.8%
  Features: Energy_Similarity=0.99, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11545 <-> Q_11544 | XGBoost: 73.8%
  Features: Energy_Similarity=0.99, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11545 <-> Q_11546 | XGBoost: 73.8%
  Features: Energy_Similarity=0.99, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11670 <-> Q_11669 | XGBoost: 73.8%
  Features: Energy_Similarity=0.99, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_12151 <-> F_12150 | XGBoost: 73.8%
  Features: Energy_Similarity=0.99, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11637 <-> Q_11639 | XGBoost: 71.8%
  Features: Energy_Similarity=0.95, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11619 <-> Q_11622 | XGBoost: 69.4%
  Features: Energy_Similarity=0.90, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11637 <-> Q_11634 | XGBoost: 69.4%
  Features: Energy_Similarity=0.90, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_11867 <-> Q_11870 | XGBoost: 69.4%
  Features: Energy_Similarity=0.90, Spin_Similarity=0.50, Parity_Similarity=0.50, Specificity=1.00, Gamma_Pattern_Similarity=0.50

L_12034 <-> F_12030 | XGBoost: 65.1%
